Product Title,Price
"PROCESADOR AMD RYZEN 5 5600 AM4, 3.5GHZ, 32MB, 6 NUCLEOS (100 -100000927BOX)",$168.00 - S/641.76
"PROCESADOR AMD RYZEN 5 PRO 4650G 3.7GHZ, 8MB, 6 NUCLEOS, GRAFICO RADEON VEGA 7, OEM AM4 (100 -1...",$189.00 - S/721.98
"DESKTOP HUAWEI MATESTATION S AMD RYZEN 5 4600G ( 53011VHL ) | 8GB RAM - SSD 256GB | TELCADO + ...",$602.00 - S/2 299.64
"PROCESADOR AMD RYZEN 5 3600 AM4, 3.6GHZ, 32MB, 6 NULCEOS (100-100000031BOX)",$174.00 - S/664.68
"PROCESADOR AMD RYZEN 5 7600X 4.7GHZ, 32MB, 6 NUCLEOS, AM5 (100 -100000593WOF)",$309.00 - S/1 180.38
"LAPTOP DELL RYZEN 5 VOSTRO 3405, PANTALLA 14 PULGADAS HD, RAM 8G, DISCO SOLIDO SSD 256G, WINDOW...",$423.00 - S/1 615.86
"PROCESADOR AMD RYZEN 5 2600 AM4, 3.4GHZ, 16MB, 6 NUCLEOS, OEM (YD2600BBM6IAF)",$181.00 - S/691.42
"PROCESADOR AMD RYZEN 5 5600G AM4, 3.9GHZ, 16MB, 6 NUCLEOS (100 -100000252BOX)",$159.00 - S/607.38
"PROCESADOR AMD RYZEN 5 3600XT AM4, 3.8GHZ, 32MB, 6 NUCLEOS (100 -100000281BOX)",$189.00 - S/721.98
"LAPTOP DELL RYZEN 5 VOSTRO 3405, PANTALLA 14 PULGADAS HD, RAM 8GB, DISCO SOLIDO SSD 256GB, VIDE...",$556.00 - S/2 123.92
"PROCESADOR AMD RYZEN 5 4600G 3.7GHZ, 8MB, 6 NUCLEOS, GRAFICO RADEON VEGA 7, AM4 (100 -100000147...",$129.00 - S/492.78
"LAPTOP MSI RYZEN 5 MODERN 15 A5M 5500, PANTALLA 15.6 PULGADAS FHD IPS, RAM 8GB MAX 32GB, DISCO ...",$797.00 - S/3 044.54
